date,asset_type,total_amount
2022-08-23,Cash,641701458
2022-08-23,Reverse Repo Collateral,9409833490
2022-08-23,Treasury Bill,9102533250
2022-08-31,Cash,625700366
2022-08-31,Reverse Repo Collateral,8351631124
2022-08-31,Treasury Bill,10531509750
2022-09-16,Cash,1005413392
2022-09-16,Reverse Repo Collateral,9807300099
2022-09-16,Treasury Bill,10007100000
2022-09-30,Cash,1887962585
2022-09-30,Reverse Repo Collateral,14025000002
2022-09-30,Treasury Bill,5344377400
2023-11-20,Cash,6076928
2023-11-20,Reverse Repo Collateral,1833072715
2023-11-30,Cash,19837172
2023-11-30,Reverse Repo Collateral,1687856412
2023-12-27,Cash,19739432
2023-12-27,Reverse Repo Collateral,1016341413
2023-12-29,Cash,19745779
2023-12-29,Reverse Repo Collateral,1016640213
2024-01-12,Cash,20863794
2024-01-12,Reverse Repo Collateral,526318056
2024-01-31,Cash,1246746
2024-01-31,Reverse Repo Collateral,102573320
2024-02-05,Cash,1232529
2024-02-05,Reverse Repo Collateral,102663228
2024-02-29,Cash,936009
2024-02-29,Reverse Repo Collateral,85630030
2024-03-12,Cash,936035
2024-03-12,Reverse Repo Collateral,85397525
2024-03-29,Cash,935781
2024-03-29,Reverse Repo Collateral,85598489
2024-04-22,Cash,935938
2024-04-22,Reverse Repo Collateral,71188860
2024-04-30,Cash,935831
2024-04-30,Reverse Repo Collateral,71272500
2024-05-16,Cash,935984
2024-05-16,Reverse Repo Collateral,71123580
2024-05-31,Cash,935439
2024-05-31,Reverse Repo Collateral,71280660
2024-06-04,Cash,935597
2024-06-04,Reverse Repo Collateral,71322480
2024-06-28,Cash,935311
2024-06-28,Reverse Repo Collateral,71250060
2024-07-26,Cash,935457
2024-07-26,Reverse Repo Collateral,70205580
2024-07-31,Cash,936100
2024-07-31,Reverse Repo Collateral,70256580
