date,asset_type,total_amount
2024-08-27,Cash,935383
2024-08-27,Reverse Repo Collateral,70215780
2024-08-30,Cash,935772
2024-08-30,Reverse Repo Collateral,70246380
2024-09-18,Cash,935696
2024-09-18,Reverse Repo Collateral,70122960
2024-09-30,Cash,935725
2024-09-30,Reverse Repo Collateral,70236180
2024-10-11,Cash,935567
2024-10-11,Reverse Repo Collateral,70041360
2024-10-31,Cash,935952
2024-10-31,Reverse Repo Collateral,68912220
2024-11-25,Cash,935334
2024-11-25,Reverse Repo Collateral,68845920
2024-11-29,Cash,935465
2024-11-29,Reverse Repo Collateral,68880600
2024-12-02,Cash,935183
2024-12-02,Reverse Repo Collateral,68907120
2024-12-31,Cash,936029
2024-12-31,Reverse Repo Collateral,68889780
2025-01-21,Cash,936473
2025-01-21,Reverse Repo Collateral,59701000
2025-01-31,Cash,936689
2025-01-31,Reverse Repo Collateral,59772000
2025-02-13,Cash,936432
2025-02-13,Reverse Repo Collateral,59640000
2025-02-28,Cash,936253
2025-02-28,Reverse Repo Collateral,59747000
2025-03-18,Cash,3583598
2025-03-18,Reverse Repo Collateral,57028000
2025-03-31,Cash,986725
2025-03-31,Reverse Repo Collateral,57116000
2025-04-10,Cash,986381
2025-04-10,Reverse Repo Collateral,57185000
2025-04-30,Cash,935387
2025-04-30,Reverse Repo Collateral,57055000
2025-05-08,Cash,935503
2025-05-08,Reverse Repo Collateral,56905000
2025-05-30,Cash,935535
2025-05-30,Reverse Repo Collateral,57053000
2025-06-09,Cash,935335
2025-06-09,Reverse Repo Collateral,57121000
2025-06-30,Cash,935798
2025-06-30,Reverse Repo Collateral,57060000
2025-07-08,Cash,935739
2025-07-08,Reverse Repo Collateral,57115000
2025-07-31,Cash,936611
2025-07-31,Reverse Repo Collateral,54288951
