file,report_date,eurc_in_circulation,fair_value_reserves,cash_held,settlement,total_reserves,auditor
eurc_2022-06.pdf,,,,,,,Grant Thornton
eurc_2022-07.pdf,,,,,,,Grant Thornton
eurc_2022-08.pdf,,,,,,,Grant Thornton
eurc_2022-09.pdf,,,,,,,Grant Thornton
eurc_2022-10.pdf,,,,,,,Grant Thornton
eurc_2022-11.pdf,,,,,,,Grant Thornton
eurc_2022-12.pdf,,,,,,,Grant Thornton
eurc_2023-01.pdf,"January 17, 2023",,,,,,
eurc_2023-01.pdf,"January 31, 2023",,,,,,
eurc_2023-02.pdf,,,,,,,
eurc_2023-03.pdf,,,,,,,
eurc_2023-04.pdf,,,,,,,
eurc_2023-05.pdf,,,,,,,
eurc_2023-06.pdf,,,,,,,
eurc_2023-07.pdf,,,,,,,
eurc_2023-08.pdf,,,,,,,
eurc_2023-09.pdf,,,,,,,
eurc_2023-10.pdf,,,,,,,
eurc_2023-11.pdf,,,,,,,
eurc_2023-12.pdf,,,,,,,
eurc_2024-01.pdf,"January 11, 2024",52187440.0,2438545.0,52438542.0,-3.0,5.0,
eurc_2024-01.pdf,"January 31, 2024",51734446.0,1985679.0,52051081.0,-65402.0,9.0,
eurc_2024-02.pdf,"February 23, 2024",48958255.0,9209360.0,49210156.0,-796.0,0.0,
eurc_2024-02.pdf,"February 29, 2024",48474978.0,8726194.0,48856104.0,-129910.0,4.0,
eurc_2024-03.pdf,"March 25, 2024",52030415.0,2781520.0,52781736.0,-216.0,0.0,
eurc_2024-03.pdf,"March 29, 2024",51257692.0,2009000.0,52145177.0,-136177.0,0.0,
eurc_2024-04.pdf,"April 5, 2024",48188530.0,8939838.0,48944707.0,-4869.0,8.0,
eurc_2024-04.pdf,"April 30, 2024",40749720.0,1501157.0,41881030.0,-379873.0,7.0,
eurc_2024-05.pdf,"May 7, 2024",39034492.0,9785601.0,39810298.0,-24697.0,1.0,
eurc_2024-05.pdf,"May 31, 2024",36995250.0,7746702.0,37851861.0,-105159.0,2.0,
eurc_2024-06.pdf,"June 10, 2024",36571038.0,7322087.0,37322364.0,-277.0,7.0,
eurc_2024-06.pdf,"June 28, 2024",35434916.0,6186236.0,36697000.0,-510764.0,6.0,
eurc_2024-07.pdf,"July 18, 2024",34842274.0,5592652.0,35355903.0,236749.0,35592652.0,
eurc_2024-07.pdf,"July 31, 2024",35419463.0,6172122.0,35106353.0,1065769.0,36172122.0,
eurc_2024-08.pdf,"August 29, 2024",53067997.0,3818427.0,53818678.0,251.0,53818427.0,
eurc_2024-08.pdf,"August 30, 2024",52867999.0,3620711.0,53953752.0,333041.0,53620711.0,
eurc_2024-09.pdf,"September 20, 2024",56745763.0,7496272.0,57496523.0,251.0,57496272.0,
eurc_2024-09.pdf,"September 30, 2024",61976108.0,2728914.0,62908455.0,179541.0,62728914.0,
eurc_2024-10.pdf,,,,,,,
eurc_2024-11.pdf,,,,,,,
eurc_2024-12.pdf,"December 09, 2024",88155986.0,8906494.0,,,,
eurc_2024-12.pdf,"December 31, 2024",80705696.0,1456210.0,,,,
eurc_2025-01.pdf,"January 06, 2025",85245179.0,5995696.0,,,,
eurc_2025-01.pdf,"January 31, 2025",101293431.0,2043948.0,,,,
eurc_2025-02.pdf,"February 04, 2025",114417250.0,15167768.0,,,,
eurc_2025-02.pdf,"February 28, 2025",115640112.0,16390630.0,,,,
eurc_2025-03.pdf,"March 19, 2025",131368585.0,32119102.0,,,,
eurc_2025-03.pdf,"March 31, 2025",170726017.0,71476538.0,,,,
eurc_2025-04.pdf,"April 03, 2025",141363931.0,42114452.0,,,,
eurc_2025-04.pdf,"April 30, 2025",201534426.0,2284947.0,,,,
eurc_2025-05.pdf,"May 27, 2025",197947237.0,98697759.0,,,,
eurc_2025-05.pdf,"May 30, 2025",188175019.0,88925542.0,,,,
eurc_2025-06.pdf,"June 12, 2025",168442886.0,69193407.0,,,,
eurc_2025-06.pdf,"June 30, 2025",171793247.0,72543770.0,,,,
eurc_2025-07.pdf,"July 08, 2025",178925216.0,79675736.0,,,,
eurc_2025-07.pdf,"July 31, 2025",180600510.0,81351029.0,,,,
eurc_2025-08.pdf,"August 04, 2025",185844987.0,86595506.0,186595757.0,-251.0,186595506.0,
eurc_2025-08.pdf,"August 29, 2025",203610054.0,4360573.0,204131533.0,229040.0,204360573.0,
eurc_2025-09.pdf,"September 18, 2025",217648128.0,18398648.0,217904494.0,494154.0,218398648.0,
eurc_2025-09.pdf,"September 30, 2025",214594363.0,15344883.0,215356693.0,-11810.0,215344883.0,
eurc_2025-10.pdf,"October 13, 2025",229301657.0,30052176.0,230052427.0,-251.0,230052176.0,
eurc_2025-10.pdf,"October 31, 2025",241565152.0,44315671.0,247122082.0,-2806411.0,244315671.0,
eurc_2025-11.pdf,"November 3, 2025",236672909.0,39423428.0,239088762.0,334666.0,239423428.0,
eurc_2025-11.pdf,"November 28, 2025",286688320.0,89438841.0,289618902.0,-180061.0,289438841.0,
eurc_2025-12.pdf,"December 26, 2025",298901215.0,1651741.0,305495202.0,-3843461.0,301651741.0,
eurc_2025-12.pdf,"December 31, 2025",309608590.0,12359116.0,314042591.0,-1683475.0,312359116.0,
eurc_2026-01.pdf,"January 16, 2026",306713162.0,9463687.0,309463938.0,-251.0,309463687.0,
eurc_2026-01.pdf,"January 30, 2026",347804540.0,50555067.0,350555401.0,-334.0,350555067.0,
eurc_2026-02.pdf,"February 19, 2026",389315361.0,92065888.0,392041842.0,24046.0,392065888.0,
eurc_2026-02.pdf,"February 27, 2026",393662772.0,96413298.0,396560668.0,-147370.0,396413298.0,
